Аддон	Addon
Антент	Antent
Антифэй	Antifae
Аппер	Upper
Армор	Armorer
Бач	Dimin
Берсерк	Berserker
Боттер	Botter
Броинг	Broing
Бронд	Brond
Бронепакет	Armorpack
Винтарь	Threader
Вихрь	Vortex
Гезават	Jeiad
Горанд	Gorand
Громодрын	Massodrope
Гугаал	Gugaal
Дальномет	Farshooter
Дальпун	Farsight
Дальстар	Dalstar
Двима	Drover
Джампгейтор 3.11	Jumpgator 3.11
Джейк	Jake
Диамант	Diamant
Диощит	Dioshield
Дронз	Dronze
Дроннер	Dronner
Жампа	Jumpa
Жжения	Burnz
Иикебанит	Iikebaanite
Импелган	Impalegun
Интегратор	Integrator
Интердизайн	Interdesign
Клейн	Klein
Колебратор	Colebrator
Конвектор	Convector
Крепчак	Harding
Ламбалд	Lambald
Магникум	Magnicum
Маформ	Maform
Микроразмерный	Microsize
Микрострел	Microshooter
Минивизион	Minivision
Миниразмерный	Minisized
Объемник	Volumer
Оптиматор	Optimator
Пакстон	Paxton
Панцирь	Shell
Парагон	Paragon
Патч 0.95 бета	Patch 0.95 beta
Патч 0.96 альфа	Patch 0.96 alpha
Перфорит	Perforator
Платинос	Platicoat
Поточный	Inliner
Прозотор	Prozotor
Ракетон	Rocketon
Раструг	Rasta
Редуза	Redusa
Ресиз	Resizer
Сдвиг	Displacement
Сжим	Clip
Спаай	Insighter
Сплинтер	Splinter
Стаксер	Staxer
Стоплай	Stopbark
Стратер	Strutter
Тюринг	Turing
Универс	Universe
Форсер	Forcer
Фэйджоуль	Faejoel
Хаб	Hub
Хокус	Hocus
Цент	Cent
Шелест	Rustle
Эксплодер	Exploder
Экстример	Extremer
Электро	Electro
Энергос	Energos
Эскалибур	Excalibur
